Name,Address,Product,Draw,Value,Postal_Code,Latitude,Longitude
HOFFMAN MINI MART,124 HOFFMAN ST N2M-3N1 KITCHENER,Lightning Lotto,28-Apr-2023,575305.9,N2M-3N1,43.431634,-80.484603
RIVER OAKS CONVENIENCE STORE,201 RIVER OAKS BLVD W L6H-3S7 OAKVILLE,Lightning Lotto,16-Jun-2023,574471.8,L6H-3S7,43.464579,-79.722553
CIRCLE K #1002,258 PARK RD S L1J-4H3 OSHAWA,Daily Grand,15-Jun-2023,500000.0,L1J-4H3,43.888587,-78.871011
FOODY MART,355 BAMBURGH CIR M1W-3Y1 SCARBOROUGH,THE BIG SPIN,31-3108,500000.0,M1W-3Y1,43.814803,-79.322407
PETRO CANADA,1514 STEELES AVE W L4K-2P7 CONCORD,Daily Grand,20-Mar-2023,500000.0,L4K-2P7,43.787619,-79.470804
QUICK PICK VARIETY,37 JOHN ST P2B-1Y2 STURGEON FALLS,Lotto Max,06-Jun-2023,500000.0,P2B-1Y2,46.369585,-79.930573
R & P CONVENIENCE,90 SIMCOE ST N4G-2H8 TILLSONBURG,Lotto Max,25-Jul-2023,500000.0,N4G-2H8,42.859449,-80.712273
TOMS FOOD STORE,100 NONQUON RD L1G-3S4 OSHAWA,Lotto Max,25-Jul-2023,500000.0,L1G-3S4,43.929278,-78.874575
VARIETY PLUS,2943 MAJOR MACKENZIE DR L6A-3N9 MAPLE,Lottario,04-Feb-2023,469028.9,L6A-3N9,43.84985199,-79.53518118
PARK RETAIL,2495 KINGSTON RD M1N-1V4 SCARBOROUGH,Lottario,18-Mar-2023,404961.8,M1N-1V4,43.710377,-79.248229
PETRO CANADA,2371 25 SIDEROAD L9S-2G3 INNISFIL,Lottario,01-Apr-2023,382900.2,L9S-2G3,44.328141,-79.542987
LONGO'S #19 - AURORA,650 WELLINGTON ST E L4G-0K3 AURORA,Lotto Max,02-Jun-2023,342257.1,L4G-0K3,44.005791,-79.446298
PIONEER SNACK EXPRESS,1 HARWOOD AVE S L1S-2C1 AJAX,Lightning Lotto,13-Mar-2023,331192.1,L1S-2C1,43.860977,-79.024837
KITCHEN BASKET CONVENIENCE,2822 MARKHAM RD M1X-1E6 SCARBOROUGH,PAY DAY,31-2371,300000.0,M1X-1E6,43.822962,-79.248503
LOBLAWS #1035 - BARRHAVEN,3201 GREENBANK RD K2J-4H9 NEPEAN,Lotto 649,11-Mar-2023,257082.0,K2J-4H9,45.268034,-75.743447
BIG BEAR FOOD MART,450 APPLEBY LINE L7L-2Y2 BURLINGTON,BONUS MONEY,31-2355,250000.0,L7L-2Y2,43.367329,-79.75487
BRYAN'S VARIETY,158 MILL ST N0L-1M0 GLENCOE,BONUS MONEY,31-2355,250000.0,N0L-1M0,42.749599,-81.713749
CAYUGA IDA PHARMACY,18 TALBOT ST E N0A-1E0 CAYUGA,CROSS DELUXE,31-3351,250000.0,N0A-1E0,42.951356,-79.853917
CIRCLE K #62020 - CHRISTOPHER,115 CHRISTOPHER DR N1R-4S1 CAMBRIDGE,GOLDEN JP,31-2333,250000.0,N1R-4S1,43.347301,-80.29866
COMPLETE MART,1200 YORK MILLS RD M3A-1X8 NORTH YORK,THE BIG SPIN,31-3108,250000.0,M3A-1X8,43.75962,-79.335035
DAIRY MART,2987 LAKE SHORE BLVD W M8V-1J8 ETOBICOKE,CROSS DELUXE,31-3351,250000.0,M8V-1J8,43.6001408,-79.5070686
HASTY MARKET,11 WESTWOOD DR N2M-2K5 KITCHENER,BINGO MULTIP,31-3080,250000.0,N2M-2K5,43.446098,-80.523538
KOBE'S CONVENIENCE,707 KENNEDY RD M1K-2C1 SCARBOROUGH,POKER NIGHT,31-2341,250000.0,M1K-2C1,43.727873,-79.265692
LITTLE SHORT STOP STORE #1110,3014 KING ST E N2A-1B3 KITCHENER,POKER NIGHT,31-2341,250000.0,N2A-1B3,43.428765,-80.431527
LUCKY TICKETS,1226 ISLINGTON AVE M8X-1Y8 ETOBICOKE,Lottario,29-Apr-2023,250000.0,M8X-1Y8,43.6452266,-79.5240453
