Name,Address,Product,Draw,Value,Postal_Code,Latitude,Longitude
ORCHARD GROVE PHARMACY,8123 LUNDY'S LANE L2H-1H3 NIAGARA FALLS,Encore - Lotto Max,30-May-2023,100000.0,L2H-1H3,43.089331,-79.133126
PAPELARIA PORTUGAL,220 OSSINGTON AVE M6J-2Z9 TORONTO,Encore - Lotto Max,18-Apr-2023,100000.0,M6J-2Z9,43.649128,-79.420978
PARK'S VARIETY,43 NORTH PARK ST N3R-4J7 BRANTFORD,SUIT UP,31-2356,100000.0,N3R-4J7,43.155495,-80.270908
PETRO CAN,3680 LANGSTAFF RD L4L-9A8 WOODBRIDGE,Lotto 649,25-Mar-2023,100000.0,L4L-9A8,43.808507,-79.551252
PETRO CANADA,1007 ST LAURENT BLVD K1K-3B1 OTTAWA,Encore - 649,15-Apr-2023,100000.0,K1K-3B1,45.428399,-75.639162
PETRO CANADA,1345 LAWRENCE AVE E M3A-1C6 NORTH YORK,Encore - 649,01-Mar-2023,100000.0,M3A-1C6,43.740672,-79.319656
PETRO CANADA,1487 CENTRE ST L4J-3M7 THORNHILL,Encore - 649,03-Jun-2023,100000.0,L4J-3M7,43.805324,-79.473811
PETRO CANADA,1493 FINCH AVE W M3J-2G7 NORTH YORK,Encore - 649,11-Feb-2023,100000.0,M3J-2G7,43.760733,-79.499214
PETRO CANADA,1755 DUNDAS ST W L1P-1Y9 WHITBY,Encore - Daily Grand,23-Feb-2023,100000.0,L1P-1Y9,43.869656,-78.985129
PETRO CANADA,1845 ADELAIDE ST N N5X-0E3 LONDON,Encore - Ontario 49,17-Jun-2023,100000.0,N5X-0E3,43.04613,-81.261293
PETRO CANADA,3766 FALLOWFIELD RD K2J-1A1 NEPEAN,Encore - 649,01-Feb-2023,100000.0,K2J-1A1,45.28749,-75.757223
PETRO CANADA,471 MAIN ST S L6Y-1N6 BRAMPTON,Encore - Daily Keno,02-Feb-2023,100000.0,L6Y-1N6,43.668966,-79.738123
PETRO CANADA,471 MAIN ST S L6Y-1N6 BRAMPTON,Encore - Daily Keno,07-Feb-2023,100000.0,L6Y-1N6,43.668966,-79.738123
PETRO CANADA,5 SANDALWOOD PKY W L7A-1J6 BRAMPTON,Encore - 649,25-Feb-2023,100000.0,L7A-1J6,43.717097,-79.803103
PETRO CANADA,610 ATHERLEY RD L3V-1P2 ORILLIA,BINGO DBLR,31-2315,100000.0,L3V-1P2,44.605565,-79.374983
PETRO CANADA,695 BURNHAMTHORPE RD W L5C-3A6 MISSISSAUGA,Encore - Lotto Max,25-Apr-2023,100000.0,L5C-3A6,43.579315,-79.652489
PIONEER ON THE RUN,545 WOODWARD AVE L8H-6P2 HAMILTON,Encore - 649,25-Mar-2023,100000.0,L8H-6P2,43.247774,-79.777048
PIONEER SNACK EXPRESS,1105 KING ST E N2G-2N3 KITCHENER,Lotto 649,25-Mar-2023,100000.0,N2G-2N3,43.441581,-80.471548
PIONEER SNACK EXPRESS,146 LIBERTY ST S L1C-2P4 BOWMANVILLE,Encore - Lotto Max,03-Mar-2023,100000.0,L1C-2P4,43.901587,-78.676918
REXALL #2188 - CALEDONIA,351 ARGYLE ST S N3W-1K7 CALEDONIA,Encore - Pick 2,14-Apr-2023,100000.0,N3W-1K7,43.062399,-79.962064
REXALL #34,1205 FISHER ST P1B-2H2 NORTH BAY,Encore - Ontario 49,22-Mar-2023,100000.0,P1B-2H2,46.311065,-79.447796
SDM #1247 - MCKEOWN & JOSEPHINE,66 JOSEPHINE ST P1B-0A7 NORTH BAY,PAYLN MULTPR,31-2349,100000.0,P1B-0A7,46.332796,-79.469056
SDM #1254 - INNES & PORTOBELLO,1937 PORTOBELLO BLVD K4A-4W9 ORLEANS,Encore - Lotto Max,19-May-2023,100000.0,K4A-4W9,45.468064,-75.46588
SDM #616 - RITSON CENTRE,300 TAUNTON RD E L1G-7T4 OSHAWA,Encore - 649,15-Mar-2023,100000.0,L1G-7T4,43.936241,-78.867801
SDM #670 - NEW SUDBURY CENTRE,1349 LASALLE BLVD P3A-1Z2 SUDBURY,Encore - 649,18-Mar-2023,100000.0,P3A-1Z2,46.520053,-80.946701
SDM #771 - SOUTH COMMON MALL,2126 BURNHAMTHORPE RD W L5L-5Z5 MISSISSAUGA,Encore - Lotto Max,14-Jul-2023,100000.0,L5L-5Z5,43.54478,-79.681657
SHELL,12871 YONGE ST. L4E-1A3 RICHMOND HILL,Encore - 649,06-May-2023,100000.0,L4E-1A3,43.941346,-79.453407
SHELL,2 VAUGHAN VALLEY RD L4K-3C4 CONCORD,Encore - 649,15-Feb-2023,100000.0,L4K-3C4,43.772398,-79.626523
SHELL C STORE,4790 DORCHESTER RD L2E-6N9 NIAGARA FALLS,Encore - 649,07-Jun-2023,100000.0,L2E-6N9,43.103838,-79.110783
SHELL CANADA,135 REXDALE BLVD M9W-1P7 ETOBICOKE,Encore - Lotto Max,20-Jun-2023,100000.0,M9W-1P7,43.711223,-79.567107
SHELL GAS STATION,232 MAIN ST K0M-1A0 BOBCAYGEON,Encore - Lotto Max,24-Feb-2023,100000.0,K0M-1A0,44.547806,-78.542343
SHELL GAS STATION,5286 DUNDAS ST W M9B-1B2 ETOBICOKE,Encore - 649,22-Mar-2023,100000.0,M9B-1B2,43.637224,-79.539541
SHELL WHITES ROAD,690 KINGSTON RD L1V-1A6 PICKERING,POWER UP,31-2368,100000.0,L1V-1A6,43.819137,-79.116143
SHERWOOD CONVENIENCE,19272 HIGHWAY 60 K0J-1B0 BARRYS BAY,Encore - Lotto Max,06-Jun-2023,100000.0,K0J-1B0,45.490582,-77.660302
SMOKE & VARIETY,5 HILLCROFT DR L3S-1R6 MARKHAM,Encore - Lotto Max,21-Apr-2023,100000.0,L3S-1R6,43.830512,-79.279929
SMOKER'S KORNER,2900 WARDEN AVE M1W-2S8 SCARBOROUGH,100KMONYMTCH,31-2358,100000.0,M1W-2S8,43.798308,-79.318379
SOBEYS #6730,255 DUNDAS ST E L8B-0E5 WATERDOWN,Lotto 649,25-Mar-2023,100000.0,L8B-0E5,43.331022,-79.898752
SOL CONVENIENCE,1243 ST. CLAIR AVE W M6E-1B8 TORONTO,Poker Lotto,01-Jun-2023,100000.0,M6E-1B8,43.677094,-79.445825
SP&G,82 PENINSULA ROAD P0T-2E0 MARATHON,Encore - 649,24-Jun-2023,100000.0,P0T-2E0,48.726453,-86.376682
STEELES EDWARD K. CIGAR & NEWS,6229 BATHURST ST M2R-2A5 NORTH YORK,Encore - Lotto Max,20-Jun-2023,100000.0,M2R-2A5,43.791916,-79.444377
STONEY LAKE VARIETY,10420 124 HWY P0A-1Z0 SUNDRIDGE,SUIT UP,31-2356,100000.0,P0A-1Z0,45.75439152,-79.42580427
TELLY'S VARIETY,775 COLBORNE ST N3S-3S3 BRANTFORD,Encore - Lotto Max,28-Apr-2023,100000.0,N3S-3S3,43.143443,-80.226983
THE COUNTRY STORE,9142 HWY 17 P0R-1C0 BRUCE MINES,Encore - 649,03-Jun-2023,100000.0,P0R-1C0,46.30030159,-83.79477536
ULTRAMAR TRENTON,110 COUNTY RD 33 K8V-5P6 TRENTON,Encore - Lotto Max,18-Apr-2023,100000.0,K8V-5P6,44.0907539,-77.57925542
VANDERWERF'S YOUR INDEPENDENT GROCER,1244 GODERICH ST N0H-2C0 PORT ELGIN,Encore - Lotto Max,09-May-2023,100000.0,N0H-2C0,44.45111,-81.378353
VICTORY CONVENIENCE,2976 FALCONBRIDGE HWY P3L-1J6 GARSON,Encore - Lotto Max,07-Jul-2023,100000.0,P3L-1J6,46.548423,-80.878711
WAVERLEY VARIETY,114 WAVERLEY RD L1C-3W9 BOWMANVILLE,Lotto 649,25-Mar-2023,100000.0,L1C-3W9,43.9050494,-78.6936729
WEST RIDGE CONVENIENCE STORE,3300 MONARCH DR L3V-8A2 ORILLIA,Lotto 649,25-Mar-2023,100000.0,L3V-8A2,44.610817,-79.451646
ZEHRS #507 - ESSA ROAD,11 BRYNE DR L4N-8V8 BARRIE,Encore - Lotto Max,03-Feb-2023,100000.0,L4N-8V8,44.358347,-79.695032
ZEHRS #552 - UXBRIDGE,323 TORONTO ST S L9P-1N2 UXBRIDGE,Encore - Lotto Max,17-Feb-2023,100000.0,L9P-1N2,44.089717,-79.130756
ESSO,5241 BLOOMINGTON RD L4A-2W9 STOUFFVILLE,Poker Lotto All In,13-Jun-2023,99448.4,L4A-2W9,44.000088,-79.290045
QUICK PICK CONVENIENCE,164 SANDALWOOD PKY E L6Z-3S4 BRAMPTON,Lotto Max,17-Feb-2023,94468.9,L6Z-3S4,43.72759,-79.796848
GIANT TIGER #159 SCARBOROUGH,682 KENNEDY RD M1K-2B5 SCARBOROUGH,Lotto Max,21-Mar-2023,91824.4,M1K-2B5,43.727569,-79.266863
7-ELEVEN ST.CLAIR W,1169 ST CLAIR AVE W M6E-1B2 TORONTO,WILD 8,31-2352,88888.0,M6E-1B2,43.677794,-79.442836
C & H VARIETY,329 ADELAIDE AVE E L1G-1Z9 OSHAWA,WILD 8,31-2352,88888.0,L1G-1Z9,43.90669,-78.854336
METRO #229- KING ROSE PLACE,1900 KING ST E L8K-1W1 HAMILTON,WILD 8,31-2352,88888.0,L8K-1W1,-37.7297492,142.0061205
QUICKIE BROCKVILLE 40002,1275 KENSINGTON PKY K6V-6C3 BROCKVILLE,WILD 8,31-2352,88888.0,K6V-6C3,44.608085,-75.713383
SHELL,2975 ST JOSEPH BLVD K1C-7C2 ORLEANS,WILD 8,31-2352,88888.0,K1C-7C2,45.475909,-75.516524
LOBLAWS #1028 - RICHMOND HILL,301 HIGH TECH RD L4B-4R2 RICHMOND HILL,Lotto Max,26-May-2023,88590.0,L4B-4R2,43.843124,-79.410876
BEST PRICE CORNER STORE,415 TECUMSEH RD W N8X-1G5 WINDSOR,Lotto Max,16-Jun-2023,85696.7,N8X-1G5,42.295279,-83.029705
STOUFFVILLE HUSKY,2210 STOUFFVILLE RD L0H-1G0 GORMLEY,Lotto 649,29-Mar-2023,85379.0,L0H-1G0,43.942287,-79.380024
WHITE OAKS TICKET CENTRE,1105 WELLINGTON RD N6E-1V4 LONDON,Lotto 649,29-Mar-2023,85379.0,N6E-1V4,42.931426,-81.224774
BUCKHORN FOODLAND,3329 BUCKHORN RD K0L-1J0 BUCKHORN,Lotto Max,07-Jul-2023,82911.1,K0L-1J0,44.553134,-78.339974
GOLD STAR CONVENIENE,3100 DIXIE RD L4Y-2A6 MISSISSAUGA,Lotto 649,12-Apr-2023,81744.7,L4Y-2A6,43.6095,-79.586588
PETRO CANADA,1071 DUNDAS ST S N1R-5S2 CAMBRIDGE,Lotto 649,12-Apr-2023,81744.7,N1R-5S2,43.348444,-80.276063
PETRO CANADA,7011 BATHURST ST L4J-2J6 THORNHILL,Lotto 649,12-Apr-2023,81744.7,L4J-2J6,43.79317,-79.445311
WELLINGTON MINI MART,297 WELLINGTON ST E L4G-6H6 AURORA,Poker Lotto All In,07-Jul-2023,77009.2,L4G-6H6,44.002527,-79.451238
CANADIAN TIRE #182,2129 ST CLAIR AVE W M6N-5B4 TORONTO,LUCKY LINES,31-2299,75000.0,M6N-5B4,43.670468,-79.472001
GLEN'S VARIETY STORE & GAS BAR,300 ST ANDREWS ST N1S-1P3 CAMBRIDGE,CASINO CASH,31-2340,75000.0,N1S-1P3,43.344249,-80.331443
GREENWOOD FOOD MARKET,247 GREENWOOD AVE M4L-2R4 TORONTO,CASHINGO,31-2361,75000.0,M4L-2R4,43.670783,-79.327653
JEM MART #40,3397 FALCONBRIDGE HWY P3L-1E4 GARSON,CASINO CASH,31-2340,75000.0,P3L-1E4,46.552877,-80.866233
MOBIL MART (GAS BAR),1150 16TH ST E N4K-1Z3 OWEN SOUND,LUCKY LINES,31-2299,75000.0,N4K-1Z3,44.575387,-80.92394
NEW YORK NEWS - LAWRENCE SQ,700 LAWRENCE AVE W M6A-3B4 NORTH YORK,ROULETTE,31-2364,75000.0,M6A-3B4,43.716748,-79.447193
POINT VARIETY,510 MICHIGAN AVE N7V-1G5 POINT EDWARD,CASHINGO,31-2361,75000.0,N7V-1G5,42.997976,-82.408117
SAK'S FINE FOODS,1677 O'CONNOR DR M4A-1W5 NORTH YORK,CASHINGO,31-2361,75000.0,M4A-1W5,43.718769,-79.30403
SOBEYS #707 - NORTH PARK,930 NORTH PARK DR L6S-3Y5 BRAMPTON,CASINO CASH,31-2340,75000.0,L6S-3Y5,43.734489,-79.744318
THE TICKET SHOP,6464 YONGE ST M2M-3X4 NORTH YORK,TETRIS,31-2362,75000.0,M2M-3X4,43.795849,-79.422372
BALTAZ CORNERS,2351 FISCHER HALLMAN RD N0B-1E0 AYR,Lotto Max,21-Apr-2023,74651.4,N0B-1E0,43.3574,-80.482217
SMITH'S ULTRAMAR,21 GREER RD P0B-1L0 PORT SYDNEY,Lotto 649,03-Jun-2023,73755.0,P0B-1L0,45.196564,-79.312289
MAC'S HOWARD,2730 HOWARD AVE N8X-3X6 WINDSOR,Poker Lotto All In,21-May-2023,73097.2,N8X-3X6,42.283157,-83.01041
PETRO CANADA,3733 HIGHWAY 7  W L4L-1A6 WOODBRIDGE,Lotto 649,11-Feb-2023,72300.0,L4L-1A6,43.78904,-79.546888
CITY CONVENIENCE,380 CROCKETT ST L8V-1H9 HAMILTON,Lotto 649,04-Mar-2023,71198.6,L8V-1H9,43.235703,-79.840125
LITTLE ELEVEN CONVENIENCE,409 YONGE ST L4N-4E1 BARRIE,Lotto 649,24-May-2023,69758.9,L4N-4E1,44.366464,-79.661919
GIANT TIGER #137 NIAGARA FALLS,6161 THOROLD STONE RD L2J-1A4 NIAGARA FALLS,Lotto 649,13-May-2023,63048.4,L2J-1A4,43.116235,-79.096988
MACEWEN SEYMOUR- COUNTY LINE,1375 SEYMOUR ST P1B-9V6 NORTH BAY,Lotto 649,13-May-2023,63048.4,P1B-9V6,46.308232,-79.437924
CIRCLE K #1382 - FERNDALE,221 FERNDALE DR S L4N-6B9 BARRIE,Lotto 649,08-Feb-2023,62248.1,L4N-6B9,44.354781,-79.714345
PETRO CANADA GAS STATION,5899 BALDWIN ST S L1M-2J7 WHITBY,Poker Lotto All In,08-May-2023,61982.9,L1M-2J7,43.951671,-78.961606
ESSO/CIRCLE K #52590,1472 WELLINGTON ST E L4G-7B6 AURORA,Poker Lotto All In,27-Mar-2023,59904.6,L4G-7B6,44.011081,-79.419355
PIONEER/SHOP & GO CONVENIENCE,161 PETER ST L1A-1C7 PORT HOPE,Lotto 649,07-Jun-2023,59762.2,L1A-1C7,43.950708,-78.279359
CIRCLE K #66123 - BLOOR,2244 BLOOR ST W M6S-1N6 TORONTO,Lotto 649,01-Apr-2023,55918.8,M6S-1N6,43.651224,-79.477226
GATEWAY NEWSTANDS #55,1800 SHEPPARD AVE E M2J-5A7 NORTH YORK,Poker Lotto All In,13-May-2023,55143.2,M2J-5A7,43.777758,-79.344484
ACTION  CONVENIENCE,1701 MARTIN GROVE RD M9V-4N4 ETOBICOKE,Ontario 49,25-Mar-2023,50000.0,M9V-4N4,43.733151,-79.588894
BUCK OR TWO PLUS #603,275 BROCKVILLE ST K7A-4Z6 SMITHS FALLS,Ontario 49,19-Apr-2023,50000.0,K7A-4Z6,44.882765,-76.015336
CANADIAN TIRE GAS BAR #1171,678 HWY 401 WESTBOUND K0E-1R0 MALLORYTOWN,Daily Keno,22-May-2023,50000.0,K0E-1R0,44.488957,-75.857578
CANADIAN TIRE GAS BAR #1719,1101 ONTARIO ST N5A-6W6 STRATFORD,BINGO,31-3037,50000.0,N5A-6W6,43.37038,-80.943269
CARLTON CONVENIENCE,230 BATHURST ST M5T-2S3 TORONTO,Daily Keno,14-Apr-2023,50000.0,M5T-2S3,43.648886,-79.404907
CHARTRAND'S YOUR INDEPENDENT GROCER,420 MAIN ST S K0C-1A0 ALEXANDRIA,CROSSWORD,31-3235,50000.0,K0C-1A0,45.299463,-74.629555
D.N.T. VARIETY,510 BROADWAY ST N4G-3S7 TILLSONBURG,BINGO DBLR,31-2315,50000.0,N4G-3S7,42.875258,-80.74251
ESSO/CIRCLE K #52418,281 RICHVALE DR S L6Z-4W5 BRAMPTON,Daily Keno,11-Feb-2023,50000.0,L6Z-4W5,43.719802,-79.773229
ESSO/CIRCLE K #52668,3600 SHEPPARD AVE E M1T-3K7 SCARBOROUGH,Daily Keno,03-Apr-2023,50000.0,M1T-3K7,43.781534,-79.29901
FAMILY MART #2,1240 TALBOT ST N5P-1G9 ST THOMAS,GOLDEN JP,31-2333,50000.0,N5P-1G9,42.7777616,-81.1501186
GATEWAY NEWSTANDS #105,16 YORK MILLS RD M2P-2E5 NORTH YORK,Daily Keno,15-Jun-2023,50000.0,M2P-2E5,43.744821,-79.405461
GOLDIE'S VARIETY,679 MOHAWK RD E L8V-2K6 HAMILTON,Daily Keno,07-May-2023,50000.0,L8V-2K6,43.219557,-79.843374
JANE VARIETY & GIFTS,2721 JANE ST M3L-1S3 NORTH YORK,CROSSWORD,31-3235,50000.0,M3L-1S3,43.740365,-79.512229
KING'S MILK,1265 KING ST W M6K-1G6 TORONTO,CROSSWORD,31-3235,50000.0,M6K-1G6,43.638151,-79.430661
LUCKY LOTTO CENTRE,2900 WARDEN AVE M1W-2S8 SCARBOROUGH,Daily Keno,24-Jun-2023,50000.0,M1W-2S8,43.798308,-79.318379
M & M VARIETY,443 KERR ST L6K-3C2 OAKVILLE,Daily Keno,09-Feb-2023,50000.0,L6K-3C2,43.44578,-79.684869
MEADOWBROOKS VARIETY,545 ARMSTRONG RD K7M-7G9 KINGSTON,Daily Keno,09-May-2023,50000.0,K7M-7G9,44.240218,-76.54246
MISTER CONVENIENCE,184 MARINA BLVD K9H-6M9 PETERBOROUGH,Daily Keno,14-Jul-2023,50000.0,K9H-6M9,44.33318,-78.323575
NEIGHBOURHOOD CONVENIENCE,894 MOUNT PLEASANT RD M4P-2L6 TORONTO,Daily Keno,05-May-2023,50000.0,M4P-2L6,43.7112189,-79.3914905
OASIS GAS & VARIETY,1824 FOURTH LINE N0A-1M0 OHSWEKEN,BINGO DBLR,31-2315,50000.0,N0A-1M0,43.068235,-80.117545
PETER'S CONVENIENCE,1050 UPPER GAGE AVE L8V-5B7 HAMILTON,Daily Keno,07-May-2023,50000.0,L8V-5B7,43.21269,-79.846576
PETRO CANADA,1253 WELLINGTON RD N6E-1M4 LONDON,CROSSWORD,31-3235,50000.0,N6E-1M4,42.9261,-81.218
PETRO CANADA,1270 BRIMLEY RD M1P-3G6 SCARBOROUGH,Daily Keno,04-Mar-2023,50000.0,M1P-3G6,43.769384,-79.262176
PETRO CANADA,1651 ELLESMERE RD M1H-2V4 SCARBOROUGH,Ontario 49,17-May-2023,50000.0,M1H-2V4,43.771943,-79.250729
PETRO CANADA,587 THIRD LINE L6L-4A8 OAKVILLE,Daily Keno,18-May-2023,50000.0,L6L-4A8,43.417692,-79.715559
PIONEER ON THE RUN,7209 DRUMMOND RD L2G-4P7 NIAGARA FALLS,CROSSWORD,31-3235,50000.0,L2G-4P7,43.071128,-79.097494
REXALL #6909 - SCARBOR GEN HOSPITAL,3030 LAWRENCE AVE E M1P-2T7 SCARBOROUGH,BINGO MULTIP,31-3080,50000.0,M1P-2T7,43.756116,-79.247039
SDM #1410 - BLOOR & BEDFORD,236 BLOOR ST W M5S-1T8 TORONTO,Daily Keno,05-Jun-2023,50000.0,M5S-1T8,43.66835,-79.396895
SDM #693 - NORTHGATE PLAZA,980 CENTRAL PARK DR L6S-3L7 BRAMPTON,CROSSWORD,31-3235,50000.0,L6S-3L7,43.733794,-79.720514
SMOKER'S KORNER,2900 WARDEN AVE M1W-2S8 SCARBOROUGH,Daily Keno,11-May-2023,50000.0,M1W-2S8,43.798308,-79.318379
STAR CONVENIENCE & VIDEO,1125 BLOOR ST L4Y-2N6 MISSISSAUGA,Daily Keno,14-Feb-2023,50000.0,L4Y-2N6,43.611526,-79.601306
STOREASY,846 PAPE AVE M4K-3T6 EAST YORK,REEL CASH,31-2360,50000.0,M4K-3T6,43.6837094,-79.3469531
WELCOME GUARDIAN PHARMACY,1881 YONGE ST M4S-3C4 TORONTO,Ontario 49,01-Apr-2023,50000.0,M4S-3C4,43.69775,-79.396046
WELLINGTON CONVENIENCE,700 WELLINGTON ST N7T-1J2 SARNIA,Ontario 49,01-Mar-2023,50000.0,N7T-1J2,42.968847,-82.386528
WENDY'S ONE STOP SHOP,15101 HIGHWAY 48 L4A-3B5 STOUFFVILLE,Ontario 49,11-Mar-2023,50000.0,L4A-3B5,44.034332,-79.29599
CIRCLE K #802 - HIGHGATE,1402 HIGHGATE RD K2C-2Y6 OTTAWA,Lotto 649,22-Mar-2023,44538.2,K2C-2Y6,45.348894,-75.769909
OLIVEWOOD HUSKY,879 KIPLING AVE M8Z-5H2 ETOBICOKE,Lotto 649,22-Mar-2023,44538.2,M8Z-5H2,43.635886,-79.53247
PIONEER ON THE RUN,2430 FAIRVIEW ST L7R-2E4 BURLINGTON,Lotto 649,22-Mar-2023,44538.2,L7R-2E4,43.346314,-79.797941
THE AIRWAYS GENERAL STORE,2667 SECOND LINE W P6A-6K4 PRINCE TWP,Lotto 649,22-Mar-2023,44538.2,P6A-6K4,46.534546,-84.482751
FORTINOS,2911 MAJOR MACKENZIE DR L6A-3N9 MAPLE,Lotto Max,28-Mar-2023,43475.0,L6A-3N9,43.849243,-79.532756
MILK PLUS,1909 ELLESMERE RD M1H-2W5 SCARBOROUGH,Lotto Max,28-Mar-2023,43475.0,M1H-2W5,43.7740791,-79.2410163
SDM #667 - ELLIOT LAKE,220 ONTARIO AVE P5A-1Y5 ELLIOT LAKE,Lotto Max,28-Mar-2023,43475.0,P5A-1Y5,46.386432,-82.65003
GATEWAY NEWSTANDS,1571 SANDHURST CIR M1V-1V2 SCARBOROUGH,Poker Lotto All In,24-May-2023,39661.3,M1V-1V2,43.809271,-79.26959
BYNG VARIETY AND GAS CORP,10 PORT MAITLAND RD N1A-1Y4 DUNNVILLE,DOUBLE IT,31-2351,35000.0,N1A-1Y4,42.893277,-79.62581
SCHOMBERG FOODLAND 6392,17250 HIGHWAY 27 RD L0G-1T0 SCHOMBERG,DOUBLE IT,31-2351,35000.0,L0G-1T0,44.00427,-79.678398
DAISY MART,75 ALDER ST L9W-5A9 ORANGEVILLE,PAY DAY,31-2371,30000.0,L9W-5A9,43.903514,-80.126974
QUEEN ST. VARIETY,1296 QUEEN ST E M4L-1C4 TORONTO,PAY DAY,31-2371,30000.0,M4L-1C4,43.6638384,-79.3284325
RABBA KINGSCROSS,17 KINGSCROSS RD L6T-3V5 BRAMPTON,PAY DAY,31-2371,30000.0,L6T-3V5,43.720107,-79.71606
CIRCLE K #00186,75 WILLIAM ST N K9V-4A3 LINDSAY,WILD 8,31-2352,28888.0,K9V-4A3,44.357182,-78.738387
SDM #728 - CONESTOGA MALL,550 KING ST N N2L-5W6 WATERLOO,WILD 8,31-2352,28888.0,N2L-5W6,43.497705,-80.527049
ANGEL'S CONVENIENCE,2965 ISLINGTON AVE M9L-2K7 NORTH YORK,Lotto 649,31-May-2023,27875.8,M9L-2K7,43.758149,-79.569833
BIG BEAR FOOD MART,159 HIGHLAND RD E N2M-3W1 KITCHENER,Lotto 649,31-May-2023,27875.8,N2M-3W1,43.438528,-80.493341
7-ELEVEN LAKESHORE,3260 LAKE SHORE BLVD W M8V-1M4 ETOBICOKE,Lotto 649,15-Feb-2023,25000.0,M8V-1M4,43.597303,-79.522942
777 VARIETY STORE,3095 BATHURST ST M6A-2A3 NORTH YORK,Pick 4,22-Feb-2023,25000.0,M6A-2A3,43.72065,-79.429616
99 MINI MART,445 BROCK ST N L1N-4H8 WHITBY,Lotto 649,15-Feb-2023,25000.0,L1N-4H8,43.88514872,-78.94429197
ALBERTO GROCERY,472 SAMMON AVE M4J-2B4 EAST YORK,Lotto 649,15-Feb-2023,25000.0,M4J-2B4,43.688181,-79.329453
ALBION JUG CITY,1620 ALBION RD M9V-4B4 ETOBICOKE,Daily Keno,09-May-2023,25000.0,M9V-4B4,43.742139,-79.591553
ASSELIN'S YOUR INDEPENDENT GROCER,1560 CAMERON ST K6A-3S5 HAWKESBURY,Lotto 649,15-Feb-2023,25000.0,K6A-3S5,45.593532,-74.601852
AVONDALE STEWART MARKET,1620 DOMINION RD L2A-5M4 FORT ERIE,Ontario 49,10-May-2023,25000.0,L2A-5M4,42.886323,-78.975571
BEST VALUE,462 BIRCHMOUNT RD M1K-1N8 SCARBOROUGH,Daily Keno,06-Apr-2023,25000.0,M1K-1N8,43.707187,-79.269776
BUSY BEE MART,1261 ALEXANDRA AVE L5E-2A7 MISSISSAUGA,Daily Keno,09-May-2023,25000.0,L5E-2A7,43.580191,-79.567898
CAMILLA HUSKY,155 NORTH SERVICE RD L5A-1A2 MISSISSAUGA,Ontario 49,11-Feb-2023,25000.0,L5A-1A2,43.572141,-79.596401
CANADIAN TIRE GAS BAR #1118,274 FOURTH AVE L2R-6P9 ST CATHARINES,Daily Keno,09-Jun-2023,25000.0,L2R-6P9,43.154861,-79.269935
CANADIAN TIRE GAS PLUS #1021,1895 HYDE PARK RD N6H-0A3 LONDON,Daily Keno,07-Mar-2023,25000.0,N6H-0A3,43.007956,-81.336213
CANCO 122 COLLINGWOOD,143 HUME ST L9Y-1V7 COLLINGWOOD,BINGO,31-3037,25000.0,L9Y-1V7,44.49656,-80.211518
CIRCLE K #1433 - CARNWITH,200 CARNWITH DR E L1M-0A1 WHITBY,Lotto 649,15-Feb-2023,25000.0,L1M-0A1,43.968723,-78.949283
CIRCLE K #18 - TAYLOR,215 TAYLOR RD P1L-1K1 BRACEBRIDGE,Lotto 649,15-Feb-2023,25000.0,P1L-1K1,45.046237,-79.300912
CIRCLE K #55 - LEACOCK,420 LEACOCK DR L4N-5M6 BARRIE,TETRIS,31-2362,25000.0,L4N-5M6,44.391052,-79.722886
CIRCLE K #60309 - ISLINGTON,2428 ISLINGTON AVE M9W-3X8 ETOBICOKE,Pick 4,19-Apr-2023,25000.0,M9W-3X8,43.723506,-79.559926
CNIB - PRIZE CENTRE,20 DUNDAS ST W M5G-2C2 TORONTO,Daily Keno,05-May-2023,25000.0,M5G-2C2,43.656409,-79.382364
DAISY MART,34 HARWOOD AVE S L1S-2B6 AJAX,Ontario 49,10-May-2023,25000.0,L1S-2B6,43.855095,-79.023521
EASY CONVENIENCE STORE,3655 ST CLAIR AVE E M1M-1T1 SCARBOROUGH,CROSSWORD,31-3235,25000.0,M1M-1T1,43.718427,-79.250753
ELLIOTT'S CIGAR,2790 DANFORTH AVE M4C-1M1 TORONTO,Daily Keno,21-Mar-2023,25000.0,M4C-1M1,43.689563,-79.296496
ESSO,197 BELLAMY RD N M1J-2L3 SCARBOROUGH,Daily Keno,06-Apr-2023,25000.0,M1J-2L3,43.746302,-79.230674
ESSO ON THE RUN,2263 DUNDAS ST N5W-3E3 LONDON,Lotto 649,15-Feb-2023,25000.0,N5W-3E3,43.009938,-81.154119
ESSO/HASTY MARKET,14010 HURONTARIO ST L7C-2C1 INGLEWOOD,TETRIS,31-2362,25000.0,L7C-2C1,43.773581,-79.878971
FRIENDS VARIETY,150 SIDNEY ST K8P-5E2 BELLEVILLE,Daily Keno,04-May-2023,25000.0,K8P-5E2,44.159704,-77.399532
GATEWAY NEWSTANDS,84 LYNDEN RD N3R-6B8 BRANTFORD,Lotto 649,13-May-2023,25000.0,N3R-6B8,43.171074,-80.240048
GATEWAY NEWSTANDS #569,2 KING ST W L8P-1A1 HAMILTON,Lotto 649,15-Feb-2023,25000.0,L8P-1A1,-37.78558,175.27019
GATEWAY NEWSTANDS KIOSK #128,15 JANE ST M6S-3Y3 TORONTO,Daily Keno,19-Apr-2023,25000.0,M6S-3Y3,43.649729,-79.483616
